"game_rk";"quest_rk";"employee_rk";"game_dttm";"price";"game_flg";"finish_flg";"time"
682770;5754;28476;"2018-01-07 05:00:00";3200;1;1;45
682774;5754;28473;"2018-01-07 18:00:00";4000;1;1;49
682778;5744;28522;"2018-02-03 02:45:00";4000;1;1;47
682782;5742;28474;"2018-02-04 11:45:00";4000;1;1;49
682786;5752;28509;"2018-01-07 18:30:00";5000;1;1;50
682790;5746;28517;"2018-02-04 22:15:00";5000;1;1;36
682794;5771;28470;"2018-01-03 22:00:00";5000;1;1;38
682798;5761;28484;"2018-01-27 18:30:00";4000;1;1;49
682802;5771;28499;"2018-02-28 22:00:00";5000;1;1;47
682806;5747;28503;"2018-02-28 21:15:00";3000;1;1;33
682810;5748;28472;"2018-02-18 21:15:00";5000;1;1;35
682814;5746;28471;"2018-02-18 18:15:00";5000;1;1;42
682818;5755;28456;"2018-01-28 03:30:00";4000;1;1;35
682822;5749;28518;"2018-01-28 17:45:00";4000;1;1;39
682826;5763;28509;"2018-02-13 20:00:00";5000;0;;
682830;5760;28492;"2018-02-20 02:45:00";3200;1;1;50
682834;5763;28502;"2018-02-10 12:00:00";4000;1;1;49
682838;5751;28475;"2018-01-02 10:30:00";2400;1;1;36
682842;5741;28469;"2018-01-25 14:00:00";2400;1;1;47
682846;5755;28483;"2018-01-28 16:30:00";5000;0;;
682850;5770;28511;"2018-02-24 13:15:00";3000;1;1;50
682854;5741;28486;"2018-02-18 10:00:00";2400;1;1;47
682858;5742;28493;"2018-02-14 15:45:00";4000;1;1;32
682862;5760;28481;"2018-02-06 20:45:00";4000;1;0;
682866;5751;28458;"2018-02-06 16:30:00";2400;1;1;47
682870;5760;28476;"2018-01-16 05:45:00";3200;0;;
682874;5750;28486;"2018-02-14 03:30:00";2400;1;1;50
682878;5751;28461;"2018-01-20 07:30:00";2400;0;;
682882;5748;28516;"2018-01-08 13:15:00";5000;1;1;43
682886;5772;28501;"2018-01-10 07:30:00";3200;1;1;49
682890;5764;28514;"2018-02-21 06:00:00";3200;1;0;
682894;5742;28509;"2018-01-01 14:45:00";5000;1;1;34
682898;5742;28502;"2018-01-27 21:45:00";5000;1;1;36
682902;5760;28478;"2018-02-15 17:45:00";3200;1;0;
682906;5755;28483;"2018-02-10 16:30:00";5000;1;1;37
682910;5768;28454;"2018-01-04 16:00:00";3000;1;1;44
682914;5742;28521;"2018-01-18 02:45:00";4000;1;1;45
682918;5748;28490;"2018-02-07 01:15:00";4000;1;1;46
682922;5741;28506;"2018-01-16 09:00:00";2400;0;;
682926;5754;28481;"2018-01-09 18:00:00";4000;1;1;48
682930;5745;28468;"2018-01-11 04:15:00";3200;1;1;40
682934;5758;28454;"2018-01-27 19:45:00";3000;1;1;37
682938;5754;28476;"2018-01-29 00:00:00";3200;1;1;37
682942;5773;28459;"2018-01-23 13:45:00";4000;1;1;42
682946;5771;28470;"2018-01-27 18:00:00";5000;1;1;50
682950;5752;28520;"2018-01-31 01:30:00";4000;1;1;47
682954;5751;28454;"2018-01-12 21:30:00";3000;1;1;50
682958;5765;28474;"2018-02-16 11:15:00";4000;1;1;36
682962;5747;28500;"2018-02-20 11:15:00";2400;1;0;
682966;5752;28520;"2018-01-02 04:30:00";4000;0;;
682970;5770;28458;"2018-01-03 16:15:00";3000;0;;
682974;5746;28455;"2018-01-05 04:15:00";4000;1;1;46
682978;5755;28456;"2018-01-13 03:30:00";4000;0;;
682982;5746;28513;"2018-01-23 01:15:00";4000;1;1;35
682986;5756;28470;"2018-02-03 20:45:00";5000;1;1;49
682990;5745;28485;"2018-02-09 21:15:00";4000;1;1;36
682994;5751;28475;"2018-01-10 07:30:00";2400;1;1;46
682998;5745;28501;"2018-02-07 03:15:00";3200;1;1;32
683002;5741;28488;"2018-02-04 18:00:00";3000;1;0;
683006;5761;28479;"2018-01-16 22:30:00";4000;1;1;44
683011;5742;28474;"2018-02-26 06:45:00";4000;0;;
683015;5772;28501;"2018-01-16 09:30:00";3200;0;;
683019;5765;28474;"2018-01-31 09:15:00";4000;1;1;48
683023;5739;28459;"2018-01-29 15:30:00";4000;0;;
683027;5745;28501;"2018-01-02 04:15:00";3200;1;1;33
683031;5750;28506;"2018-02-08 00:30:00";2400;0;;
683035;5742;28520;"2018-01-25 07:45:00";4000;1;1;39
683039;5753;28515;"2018-02-19 20:45:00";5000;1;1;49
683043;5758;28475;"2018-01-01 09:45:00";2400;0;;
683047;5742;28493;"2018-01-24 22:45:00";5000;1;1;45
683051;5767;28492;"2018-02-13 01:30:00";3200;1;1;50
683055;5764;28479;"2018-02-09 21:00:00";4000;1;1;43
683059;5743;28479;"2018-01-06 23:45:00";3200;0;;
683063;5743;28519;"2018-01-31 07:45:00";3200;1;1;49
683067;5743;28519;"2018-02-26 10:45:00";3200;1;1;50
683071;5744;28522;"2018-01-05 01:45:00";4000;0;;
683075;5756;28470;"2018-02-20 15:45:00";4000;1;0;
683079;5760;28478;"2018-01-06 17:45:00";4000;1;0;
683083;5761;28496;"2018-02-15 17:30:00";3200;1;1;48
683087;5754;28476;"2018-01-08 08:00:00";3200;1;1;41
683091;5750;28486;"2018-01-23 03:30:00";2400;0;;
683095;5739;28464;"2018-02-04 18:30:00";5000;1;1;50
683099;5766;28492;"2018-02-28 07:15:00";3200;0;;
683103;5759;28498;"2018-02-12 22:15:00";5000;0;;
683107;5766;28481;"2018-02-12 18:15:00";4000;1;1;30
683111;5739;28462;"2018-01-31 17:30:00";4000;1;1;49
683115;5758;28461;"2018-02-26 07:45:00";2400;0;;
683119;5772;28510;"2018-01-24 22:30:00";4000;1;0;
683123;5772;28510;"2018-01-26 17:30:00";3200;1;1;50
683127;5756;28470;"2018-01-29 19:45:00";5000;0;;
683131;5745;28504;"2018-02-03 19:15:00";4000;1;1;35
683135;5761;28496;"2018-02-10 16:30:00";4000;0;;
683139;5760;28481;"2018-01-30 22:45:00";4000;1;1;44
683143;5757;28494;"2018-02-22 05:30:00";2400;1;1;32
683147;5742;28521;"2018-01-21 02:45:00";4000;1;1;43
683151;5742;28509;"2018-02-18 17:45:00";5000;1;1;48
683155;5746;28513;"2018-02-18 08:15:00";4000;0;;
683159;5769;28518;"2018-02-19 11:00:00";3200;1;0;
683163;5745;28468;"2018-01-01 07:15:00";3200;0;;
683167;5765;28474;"2018-02-28 01:15:00";4000;0;;
683171;5745;28507;"2018-02-02 01:15:00";3200;1;1;35
683175;5773;28459;"2018-02-20 13:45:00";4000;0;;
683179;5750;28491;"2018-01-05 15:30:00";3000;1;1;47
683183;5763;28509;"2018-01-16 16:00:00";4000;1;1;31
683187;5758;28461;"2018-01-11 07:45:00";2400;1;1;33
683191;5750;28488;"2018-01-22 18:30:00";3000;1;1;50
683195;5756;28499;"2018-02-07 16:45:00";4000;0;;
683199;5747;28503;"2018-02-20 14:15:00";2400;1;1;49
683203;5747;28497;"2018-02-16 12:15:00";2400;1;1;43
683207;5762;28468;"2018-01-11 00:45:00";3200;1;1;30
683211;5765;28509;"2018-02-22 14:15:00";4000;1;0;
683215;5746;28463;"2018-01-11 10:15:00";4000;1;1;33
683219;5744;28472;"2018-01-15 19:45:00";5000;1;1;46
683223;5765;28520;"2018-02-11 10:15:00";4000;0;;
683227;5747;28500;"2018-02-09 12:15:00";2400;1;1;39
683231;5763;28493;"2018-01-09 22:00:00";5000;1;1;33
683235;5743;28514;"2018-02-21 04:45:00";3200;1;0;
683239;5758;28460;"2018-01-07 05:45:00";2400;0;;
683243;5755;28516;"2018-02-21 16:30:00";4000;1;1;48
683247;5752;28509;"2018-01-15 23:30:00";4000;0;;
683251;5764;28465;"2018-01-22 01:00:00";3200;1;1;50
683255;5770;28454;"2018-01-30 23:15:00";2400;0;;
683259;5772;28485;"2018-02-03 17:30:00";4000;0;;
683263;5746;28467;"2018-02-21 23:15:00";4000;1;1;46
683264;5760;28478;"2018-02-15 21:45:00";4000;1;1;50
683268;5755;28522;"2018-01-15 04:30:00";4000;1;1;46
683272;5771;28482;"2018-01-05 16:00:00";5000;0;;
683276;5755;28516;"2018-01-26 15:30:00";4000;0;;
683280;5760;28495;"2018-02-05 07:45:00";3200;1;1;47
683284;5754;28492;"2018-02-05 02:00:00";3200;0;;
683288;5767;28473;"2018-02-04 18:30:00";4000;1;1;35
683292;5742;28521;"2018-02-14 01:45:00";4000;0;;
683296;5751;28458;"2018-01-30 16:30:00";2400;1;1;46
683300;5740;28497;"2018-01-25 22:30:00";3000;1;0;
683304;5745;28507;"2018-01-05 11:15:00";3200;1;1;39
683308;5748;28516;"2018-02-11 23:15:00";4000;1;0;
683312;5760;28495;"2018-01-21 02:45:00";3200;1;0;
683316;5740;28503;"2018-02-14 14:30:00";2400;1;1;50
683320;5746;28463;"2018-02-25 09:15:00";4000;0;;
683324;5750;28486;"2018-01-11 01:30:00";2400;0;;
683328;5741;28486;"2018-01-05 05:00:00";2400;1;1;38
683332;5768;28460;"2018-01-25 11:00:00";2400;1;1;38
683336;5747;28503;"2018-01-04 17:15:00";3000;1;1;49
683340;5743;28484;"2018-01-15 18:45:00";4000;1;1;38
683344;5746;28471;"2018-02-08 17:15:00";4000;0;;
683348;5752;28502;"2018-01-21 15:30:00";5000;0;;
683352;5757;28457;"2018-01-15 20:30:00";3000;1;1;30
683356;5758;28460;"2018-01-05 02:45:00";2400;1;1;37
683360;5771;28470;"2018-02-18 22:00:00";5000;1;1;41
683364;5756;28499;"2018-02-10 12:45:00";4000;1;1;41
683368;5772;28501;"2018-01-25 07:30:00";3200;0;;
683372;5757;28457;"2018-02-26 15:30:00";2400;1;1;43
683376;5743;28484;"2018-02-08 13:45:00";3200;0;;
683380;5767;28495;"2018-02-03 06:30:00";3200;1;0;
682646;5744;28456;"2018-01-05 04:45:00";4000;1;1;48
682650;5751;28461;"2018-02-14 11:30:00";2400;1;1;47
682654;5758;28454;"2018-01-04 12:45:00";2400;1;1;47
682658;5749;28466;"2018-01-18 14:45:00";3200;1;1;33
682662;5762;28510;"2018-02-03 16:45:00";4000;1;1;49
682666;5746;28517;"2018-02-15 21:15:00";5000;1;1;39
682670;5740;28497;"2018-02-16 16:30:00";2400;1;0;
682674;5773;28464;"2018-01-31 16:45:00";4000;0;;
682678;5766;28476;"2018-01-10 05:15:00";3200;1;1;49
682682;5751;28511;"2018-01-22 20:30:00";3000;1;0;
682686;5768;28475;"2018-02-25 09:00:00";2400;1;1;45
682690;5751;28458;"2018-01-03 22:30:00";3000;1;0;
682694;5758;28458;"2018-01-06 22:45:00";3000;1;1;32
682698;5768;28460;"2018-02-19 05:00:00";2400;1;1;37
682702;5752;28502;"2018-02-25 16:30:00";5000;0;;
682706;5759;28498;"2018-02-06 22:15:00";5000;1;1;33
682710;5762;28510;"2018-01-09 14:45:00";3200;1;1;48
682714;5766;28478;"2018-01-15 15:15:00";3200;0;;
682718;5762;28468;"2018-01-23 10:45:00";3200;0;;
682722;5739;28459;"2018-01-09 18:30:00";5000;1;1;50
682726;5765;28521;"2018-01-29 09:15:00";4000;1;1;43
682730;5764;28479;"2018-02-22 22:00:00";4000;1;1;49
682734;5755;28483;"2018-01-25 22:30:00";5000;0;;
682738;5772;28501;"2018-02-07 11:30:00";3200;1;0;
682742;5759;28489;"2018-02-05 20:15:00";5000;1;1;50
682746;5765;28502;"2018-01-12 15:15:00";4000;1;1;30
682750;5742;28493;"2018-01-09 18:45:00";5000;1;1;33
682753;5772;28504;"2018-01-22 16:30:00";3200;0;;
682757;5765;28493;"2018-02-20 23:15:00";4000;0;;
682761;5765;28520;"2018-01-17 10:15:00";4000;0;;
682765;5747;28503;"2018-01-10 13:15:00";2400;1;1;46
682769;5750;28469;"2018-01-06 15:30:00";3000;1;0;
682773;5767;28481;"2018-01-05 23:30:00";3200;1;1;36
682777;5746;28471;"2018-01-11 23:15:00";4000;1;1;30
682781;5762;28510;"2018-01-08 15:45:00";4000;1;0;
682785;5742;28474;"2018-02-01 09:45:00";4000;0;;
682789;5749;28518;"2018-01-26 18:45:00";4000;1;1;47
682793;5743;28496;"2018-01-27 13:45:00";4000;1;1;46
682797;5773;28462;"2018-01-23 18:45:00";5000;1;1;49
682801;5739;28464;"2018-02-03 17:30:00";5000;0;;
682805;5768;28461;"2018-02-06 00:00:00";2400;0;;
682809;5769;28466;"2018-01-29 11:00:00";3200;1;0;
682813;5759;28515;"2018-01-03 17:15:00";5000;1;0;
682817;5752;28493;"2018-01-24 14:30:00";4000;0;;
682821;5750;28488;"2018-02-09 19:30:00";3000;0;;
682825;5765;28521;"2018-02-17 01:15:00";4000;0;;
682829;5758;28454;"2018-01-25 22:45:00";3000;1;1;36
682833;5762;28510;"2018-02-23 13:45:00";4000;0;;
682837;5746;28455;"2018-02-14 06:15:00";4000;1;1;37
682841;5751;28454;"2018-01-21 23:30:00";2400;0;;
682845;5740;28503;"2018-01-29 12:30:00";2400;1;0;
682849;5752;28521;"2018-01-15 04:30:00";4000;0;;
682853;5770;28461;"2018-02-06 06:15:00";2400;1;1;48
682857;5748;28456;"2018-02-22 05:15:00";4000;0;;
682861;5770;28454;"2018-02-15 19:15:00";3000;1;1;48
682865;5754;28473;"2018-02-12 13:00:00";3200;1;1;50
682869;5742;28502;"2018-01-31 14:45:00";4000;1;1;35
682873;5754;28495;"2018-01-05 09:00:00";3200;1;1;50
682877;5758;28461;"2018-01-27 00:45:00";2400;0;;
682881;5762;28485;"2018-01-07 18:45:00";4000;1;1;42
682885;5772;28485;"2018-02-07 20:30:00";4000;1;1;50
682889;5760;28495;"2018-01-11 11:45:00";3200;1;1;50
682893;5754;28473;"2018-01-03 15:00:00";4000;1;1;40
682897;5746;28467;"2018-02-25 16:15:00";5000;0;;
682901;5761;28496;"2018-01-18 23:30:00";3200;1;1;35
682905;5762;28485;"2018-02-19 14:45:00";3200;1;1;50
682909;5765;28520;"2018-01-22 11:15:00";4000;1;1;32
682913;5759;28515;"2018-02-12 11:15:00";4000;1;1;45
682917;5767;28481;"2018-01-18 22:30:00";4000;1;1;41
682921;5755;28456;"2018-02-28 05:30:00";4000;0;;
682925;5742;28474;"2018-02-13 01:45:00";4000;0;;
682929;5752;28520;"2018-01-10 07:30:00";4000;1;1;48
682933;5767;28481;"2018-01-08 17:30:00";4000;1;1;45
682937;5762;28504;"2018-01-10 12:45:00";3200;1;1;50
682941;5742;28502;"2018-02-06 19:45:00";5000;1;1;48
682945;5743;28479;"2018-01-31 16:45:00";3200;0;;
682949;5740;28500;"2018-01-03 18:30:00";3000;1;0;
682953;5746;28467;"2018-01-27 21:15:00";5000;1;1;41
682957;5769;28518;"2018-01-01 15:00:00";4000;0;;
682961;5772;28510;"2018-01-27 22:30:00";4000;1;1;50
682965;5750;28491;"2018-01-18 16:30:00";2400;1;1;44
682969;5764;28479;"2018-02-10 14:00:00";4000;1;1;48
682973;5756;28470;"2018-01-08 15:45:00";5000;1;1;42
682977;5744;28472;"2018-01-04 12:45:00";4000;1;1;37
682981;5760;28473;"2018-01-27 15:45:00";4000;1;0;
682985;5771;28470;"2018-01-11 19:00:00";5000;1;0;
682989;5771;28470;"2018-02-11 19:00:00";5000;1;1;46
682993;5742;28520;"2018-01-08 04:45:00";4000;1;1;30
682997;5741;28488;"2018-02-07 20:00:00";3000;0;;
683001;5762;28507;"2018-01-12 10:45:00";3200;0;;
683005;5768;28511;"2018-01-07 16:00:00";3000;1;1;48
683008;5762;28485;"2018-02-09 21:45:00";4000;1;1;44
683012;5761;28484;"2018-01-02 19:30:00";4000;1;1;50
683016;5739;28464;"2018-02-16 18:30:00";5000;1;1;48
683020;5766;28476;"2018-01-11 10:15:00";3200;1;1;48
683024;5772;28485;"2018-02-07 22:30:00";4000;1;1;50
683028;5773;28459;"2018-01-02 15:45:00";5000;0;;
683032;5757;28480;"2018-01-25 16:30:00";2400;1;1;34
683036;5761;28514;"2018-02-23 11:30:00";3200;1;1;50
683040;5740;28500;"2018-01-27 20:30:00";3000;1;1;33
683044;5767;28473;"2018-01-30 15:30:00";3200;0;;
683048;5758;28461;"2018-01-23 05:45:00";2400;0;;
683052;5756;28470;"2018-02-11 15:45:00";5000;1;0;
683056;5773;28464;"2018-01-03 13:45:00";5000;1;1;45
683060;5754;28495;"2018-01-06 10:00:00";3200;1;0;
683064;5768;28458;"2018-01-18 12:00:00";2400;1;1;45
683068;5742;28521;"2018-02-03 02:45:00";4000;0;;
683072;5750;28488;"2018-02-16 18:30:00";3000;1;1;37
683076;5750;28512;"2018-01-07 09:30:00";2400;1;1;45
683080;5751;28460;"2018-02-13 01:30:00";2400;1;1;50
683084;5741;28506;"2018-01-10 01:00:00";2400;1;1;39
683088;5740;28497;"2018-01-13 12:30:00";2400;1;0;
683092;5749;28508;"2018-02-03 11:45:00";3200;1;1;30
683096;5758;28454;"2018-01-15 19:45:00";3000;0;;
683100;5744;28472;"2018-02-28 12:45:00";4000;1;0;
683104;5741;28491;"2018-01-17 21:00:00";3000;1;1;36
683108;5763;28474;"2018-01-20 02:00:00";4000;1;1;30
683112;5764;28465;"2018-01-22 07:00:00";3200;1;1;44
683116;5742;28521;"2018-01-29 03:45:00";4000;1;1;48
683120;5744;28490;"2018-02-19 01:45:00";4000;0;;
683124;5739;28462;"2018-02-20 12:30:00";4000;1;1;48
683128;5761;28514;"2018-02-24 02:30:00";3200;0;;
683132;5764;28519;"2018-01-08 04:00:00";3200;1;0;
683136;5770;28460;"2018-01-29 08:15:00";2400;0;;
683140;5769;28466;"2018-01-03 20:00:00";4000;1;1;32
683144;5768;28475;"2018-02-11 06:00:00";2400;0;;
683148;5763;28502;"2018-02-21 13:00:00";4000;1;1;47
683152;5749;28466;"2018-02-14 13:45:00";3200;1;1;46
683156;5750;28512;"2018-01-28 01:30:00";2400;1;1;39
683160;5760;28476;"2018-01-14 02:45:00";3200;1;0;
683164;5742;28474;"2018-02-16 11:45:00";4000;1;1;43
683168;5768;28458;"2018-01-02 17:00:00";3000;1;1;39
683172;5740;28500;"2018-01-18 20:30:00";3000;1;0;
683176;5743;28465;"2018-02-28 11:45:00";3200;0;;
683180;5760;28495;"2018-01-18 10:45:00";3200;0;;
683184;5767;28481;"2018-02-12 20:30:00";4000;1;1;45
683188;5751;28458;"2018-01-12 20:30:00";3000;1;0;
683192;5751;28454;"2018-02-06 13:30:00";2400;1;1;50
683196;5760;28495;"2018-02-15 02:45:00";3200;1;1;49
683200;5757;28487;"2018-02-10 20:30:00";3000;0;;
683204;5767;28478;"2018-02-18 23:30:00";3200;1;1;39
683208;5763;28493;"2018-02-21 22:00:00";5000;1;1;35
683212;5771;28470;"2018-02-03 16:00:00";5000;1;1;48
683216;5771;28470;"2018-02-18 20:00:00";5000;1;1;50
683220;5762;28468;"2018-02-11 04:45:00";3200;1;1;49
683224;5771;28482;"2018-01-11 16:00:00";4000;0;;
683228;5762;28507;"2018-01-08 09:45:00";3200;1;1;42
683232;5753;28489;"2018-02-25 21:45:00";5000;1;0;
683236;5751;28461;"2018-01-26 07:30:00";2400;0;;
683240;5754;28481;"2018-01-29 21:00:00";4000;1;1;40
683244;5767;28478;"2018-02-04 12:30:00";3200;1;1;31
683248;5757;28505;"2018-01-13 11:30:00";2400;1;1;42
683252;5750;28491;"2018-02-11 23:30:00";2400;1;0;
683256;5746;28467;"2018-02-27 15:15:00";4000;1;1;45
683260;5755;28472;"2018-02-22 22:30:00";5000;1;1;33
683267;5773;28462;"2018-01-25 11:45:00";4000;1;1;45
683271;5756;28499;"2018-02-27 17:45:00";4000;1;1;49
683275;5755;28472;"2018-01-07 14:30:00";5000;1;1;31
683279;5770;28461;"2018-01-24 06:15:00";2400;1;1;45
683283;5762;28504;"2018-01-24 23:45:00";3200;0;;
683287;5761;28496;"2018-01-24 21:30:00";4000;1;1;44
683291;5770;28458;"2018-02-17 13:15:00";3000;1;1;49
683295;5766;28492;"2018-02-10 01:15:00";3200;0;;
683299;5748;28456;"2018-02-14 04:15:00";4000;0;;
683303;5757;28457;"2018-02-23 21:30:00";3000;1;0;
683307;5758;28460;"2018-02-17 10:45:00";2400;0;;
683311;5757;28487;"2018-02-25 12:30:00";2400;1;1;42
683315;5754;28478;"2018-01-15 15:00:00";3200;0;;
683319;5763;28493;"2018-01-12 18:00:00";5000;1;1;45
683323;5763;28521;"2018-01-12 10:00:00";4000;1;1;47
683327;5767;28492;"2018-02-05 02:30:00";3200;0;;
683331;5763;28474;"2018-02-19 11:00:00";4000;1;1;41
683335;5746;28467;"2018-02-19 12:15:00";4000;1;1;41
683339;5757;28487;"2018-01-16 12:30:00";2400;0;;
683343;5771;28482;"2018-01-16 11:00:00";4000;1;1;50
683347;5761;28519;"2018-01-20 08:30:00";3200;1;1;50
683351;5753;28515;"2018-01-10 18:45:00";5000;1;1;37
683355;5757;28494;"2018-02-07 07:30:00";2400;0;;
683359;5742;28474;"2018-01-11 08:45:00";4000;1;1;30
683363;5761;28496;"2018-02-06 23:30:00";3200;0;;
683367;5763;28509;"2018-02-01 18:00:00";5000;1;1;49
683371;5772;28485;"2018-02-06 17:30:00";3200;1;0;
683375;5761;28484;"2018-02-12 18:30:00";4000;1;1;37
683379;5766;28478;"2018-01-12 17:15:00";3200;0;;
682647;5763;28502;"2018-01-30 19:00:00";5000;1;1;31
682651;5742;28509;"2018-01-31 18:45:00";5000;1;1;32
682655;5772;28504;"2018-02-10 20:30:00";4000;1;1;36
682659;5764;28496;"2018-01-01 14:00:00";4000;1;1;44
682663;5760;28478;"2018-01-13 22:45:00";4000;1;1;36
682667;5751;28461;"2018-01-08 09:30:00";2400;1;1;47
682671;5772;28504;"2018-01-22 22:30:00";4000;1;1;43
682675;5741;28469;"2018-02-03 19:00:00";3000;1;0;
682679;5762;28510;"2018-02-12 16:45:00";3200;0;;
682683;5770;28511;"2018-02-13 12:15:00";2400;0;;
682687;5746;28463;"2018-02-02 10:15:00";4000;0;;
682691;5745;28507;"2018-02-15 04:15:00";3200;1;1;46
682695;5742;28520;"2018-02-26 00:45:00";4000;1;1;39
682699;5768;28458;"2018-02-08 23:00:00";2400;0;;
682703;5740;28497;"2018-02-10 14:30:00";3000;1;1;44
682707;5763;28520;"2018-02-11 06:00:00";4000;1;1;36
682711;5766;28495;"2018-01-30 00:15:00";3200;1;1;50
682715;5743;28465;"2018-02-08 06:45:00";3200;1;1;36
682719;5754;28473;"2018-01-19 18:00:00";4000;1;1;47
682723;5767;28492;"2018-02-22 11:30:00";3200;0;;
682727;5762;28501;"2018-02-19 01:45:00";3200;0;;
682731;5768;28475;"2018-01-28 11:00:00";2400;0;;
682735;5739;28464;"2018-02-28 22:30:00";5000;1;0;
682739;5762;28501;"2018-01-20 08:45:00";3200;1;1;43
682743;5748;28516;"2018-01-29 13:15:00";4000;1;1;50
682747;5748;28456;"2018-02-23 04:15:00";4000;1;0;
682751;5748;28456;"2018-02-13 05:15:00";4000;1;0;
682752;5743;28484;"2018-02-12 22:45:00";4000;0;;
682756;5758;28475;"2018-01-08 06:45:00";2400;1;1;49
682760;5742;28474;"2018-01-05 06:45:00";4000;1;1;34
682764;5763;28521;"2018-02-09 08:00:00";4000;1;1;49
682768;5744;28483;"2018-01-06 21:45:00";5000;0;;
682772;5767;28495;"2018-01-23 01:30:00";3200;0;;
682776;5752;28493;"2018-02-05 21:30:00";5000;1;1;44
682780;5747;28500;"2018-01-08 15:15:00";3000;1;0;
682784;5768;28458;"2018-01-17 15:00:00";2400;1;1;31
682788;5756;28470;"2018-01-17 11:45:00";4000;1;1;30
682792;5764;28496;"2018-01-25 22:00:00";4000;1;1;49
682796;5746;28463;"2018-02-04 09:15:00";4000;0;;
682800;5743;28519;"2018-01-02 00:45:00";3200;1;1;37
682804;5746;28467;"2018-01-15 19:15:00";5000;1;1;47
682808;5761;28496;"2018-02-19 20:30:00";4000;1;1;50
682812;5768;28461;"2018-02-26 09:00:00";2400;1;1;38
682816;5767;28476;"2018-01-22 05:30:00";3200;0;;
682820;5763;28474;"2018-01-01 11:00:00";4000;1;1;45
682824;5755;28483;"2018-01-01 22:30:00";5000;1;1;48
682828;5757;28505;"2018-01-19 01:30:00";2400;1;1;37
682832;5764;28484;"2018-01-30 16:00:00";3200;1;0;
682836;5772;28485;"2018-02-21 19:30:00";4000;1;0;
682840;5752;28509;"2018-01-13 14:30:00";5000;0;;
682844;5741;28491;"2018-01-11 13:00:00";2400;1;1;50
682848;5744;28516;"2018-02-12 16:45:00";4000;0;;
682852;5772;28510;"2018-02-02 13:30:00";3200;1;1;35
682856;5750;28491;"2018-02-14 15:30:00";2400;1;1;47
682860;5767;28481;"2018-02-20 15:30:00";3200;1;1;35
682864;5757;28480;"2018-02-25 22:30:00";3000;1;0;
682868;5747;28497;"2018-02-07 14:15:00";2400;1;1;50
682872;5762;28504;"2018-02-25 20:45:00";4000;1;0;
682876;5770;28475;"2018-02-07 07:15:00";2400;1;1;46
682880;5758;28511;"2018-02-12 13:45:00";2400;1;0;
682884;5764;28496;"2018-01-30 23:00:00";3200;1;0;
682888;5745;28510;"2018-02-23 15:15:00";4000;1;1;33
682892;5766;28492;"2018-02-23 00:15:00";3200;1;0;
682896;5766;28478;"2018-01-19 14:15:00";3200;1;1;50
682900;5754;28478;"2018-02-16 22:00:00";4000;1;0;
682904;5745;28468;"2018-01-01 01:15:00";3200;0;;
682908;5763;28502;"2018-02-04 14:00:00";5000;1;1;44
682912;5754;28481;"2018-02-26 19:00:00";4000;1;1;50
682916;5752;28521;"2018-01-14 11:30:00";4000;0;;
682920;5750;28512;"2018-02-01 01:30:00";2400;1;1;47
682924;5743;28514;"2018-01-30 02:45:00";3200;1;1;50
682928;5761;28484;"2018-02-27 22:30:00";4000;1;1;50
682932;5740;28503;"2018-01-28 13:30:00";3000;0;;
682936;5752;28509;"2018-01-16 16:30:00";4000;1;1;31
682940;5764;28496;"2018-01-27 21:00:00";4000;1;1;42
